id,value
18151, 7.286E+02
18153, 4.486E+02
18154, 5.739E+02
18157, 4.236E+02
18158, 3.994E+02
18161, 4.728E+02
18163, 5.115E+02
18165, 4.746E+02
18199, 3.348E+02
18203, 6.595E+02
18204, 4.790E+02
18207, 8.213E+02
18209, 9.342E+02
18104, 4.430E+02
18106, 4.849E+02
18110, 9.401E+02
18112, 5.639E+02
18115, 9.717E+02
18119, 1.387E+03
18121, 1.420E+03
18125, 8.886E+02
18127, 1.198E+03
18130, 4.316E+02
18131, 5.586E+02
18136, 9.293E+02
18137, 6.631E+02
18145, 5.868E+02
18146, 4.564E+02
17582, 1.304E+03
17583, 1.304E+03
17584, 1.299E+03
17585, 1.291E+03
17586, 1.276E+03
17587, 1.258E+03
17588, 1.234E+03
17589, 1.205E+03
17590, 1.176E+03
17591, 1.143E+03
17592, 1.115E+03
17593, 1.089E+03
17636, 1.671E+03
17640, 1.676E+03
17642, 1.673E+03
17643, 1.676E+03
17646, 1.668E+03
17648, 1.648E+03
17649, 1.660E+03
17652, 1.623E+03
17653, 1.632E+03
17656, 1.482E+03
17657, 1.537E+03
17662, 1.449E+03
17663, 1.821E+03
17178, 1.409E+03
17181, 1.417E+03
17183, 1.424E+03
17186, 1.424E+03
17344, 1.175E+03
17347, 1.161E+03
17349, 1.140E+03
17352, 1.112E+03
17354, 1.080E+03
17357, 1.058E+03
17359, 1.043E+03
17362, 1.023E+03
17594, 1.068E+03
17595, 1.054E+03
17596, 1.039E+03
17597, 1.030E+03
17665, 1.399E+03
17666, 1.426E+03
17671, 1.351E+03
17672, 1.375E+03
17679, 1.723E+03
17680, 1.738E+03
18061, 2.749E+02
18063, 4.355E+02
18070, 6.240E+02
18072, 4.478E+02
18077, 9.367E+02
18097, 3.280E+02
18099, 4.400E+02
18177, 7.500E+02
18179, 8.455E+02
18181, 8.082E+02
18183, 6.016E+02
18184, 7.241E+02
18187, 3.966E+02
18188, 4.870E+02
18191, 3.840E+02
18193, 4.488E+02
18195, 4.766E+02
18197, 3.930E+02
18200, 3.120E+02
17598, 1.009E+03
17599, 9.799E+02
17600, 9.286E+02
17601, 8.666E+02
17677, 1.298E+03
17678, 1.326E+03
17684, 1.209E+03
17685, 1.260E+03
18058, 5.240E+02
18062, 5.032E+02
18064, 4.677E+02
18067, 2.865E+02
18071, 1.070E+03
18073, 7.793E+02
18078, 1.387E+03
18079, 7.838E+02
18080, 9.048E+02
18098, 6.079E+02
18100, 7.008E+02
14908, 1.388E+03
14922, 1.418E+03
14936, 1.447E+03
14953, 1.473E+03
14966, 1.500E+03
14981, 1.527E+03
17139, 1.295E+03
17141, 1.305E+03
17143, 1.324E+03
17144, 1.352E+03
17146, 1.383E+03
17148, 1.412E+03
17149, 1.436E+03
17151, 1.460E+03
17152, 1.483E+03
17317, 1.168E+03
17318, 1.178E+03
17320, 1.189E+03
14999, 1.555E+03
15015, 1.585E+03
15020, 1.520E+03
15030, 1.615E+03
15037, 1.550E+03
15054, 1.582E+03
17154, 1.508E+03
17156, 1.534E+03
17157, 1.562E+03
17321, 1.202E+03
17323, 1.218E+03
14828, 1.336E+03
14842, 1.329E+03
14846, 1.327E+03
14860, 1.329E+03
14861, 1.331E+03
14867, 1.320E+03
14875, 1.321E+03
14877, 1.332E+03
14878, 1.341E+03
14883, 1.319E+03
14889, 1.315E+03
14894, 1.319E+03
14895, 1.336E+03
14904, 1.310E+03
14911, 1.309E+03
14913, 1.323E+03
14926, 1.300E+03
14931, 1.306E+03
14947, 1.287E+03
14893, 1.361E+03
14899, 1.328E+03
14920, 1.312E+03
14942, 1.289E+03
14965, 1.272E+03
14916, 1.343E+03
14929, 1.364E+03
14935, 1.319E+03
14941, 1.389E+03
14950, 1.336E+03
14956, 1.294E+03
14957, 1.414E+03
14963, 1.358E+03
14971, 1.309E+03
14974, 1.439E+03
14979, 1.379E+03
14983, 1.256E+03
14984, 1.323E+03
14988, 1.464E+03
14990, 1.277E+03
14996, 1.402E+03
15001, 1.340E+03
15007, 1.285E+03
15009, 1.250E+03
15010, 1.236E+03
15012, 1.427E+03
15017, 1.361E+03
15024, 1.299E+03
15029, 1.250E+03
15031, 1.222E+03
15035, 1.385E+03
15040, 1.318E+03
15048, 1.258E+03
15052, 1.216E+03
15057, 1.341E+03
15065, 1.274E+03
15071, 1.218E+03
14912, 1.344E+03
14930, 1.355E+03
14932, 1.327E+03
14946, 1.367E+03
14949, 1.334E+03
14952, 1.305E+03
14964, 1.381E+03
14968, 1.348E+03
14969, 1.280E+03
14970, 1.305E+03
14989, 1.365E+03
14992, 1.278E+03
14995, 1.317E+03
15008, 1.383E+03
15014, 1.337E+03
15034, 1.357E+03
14991, 1.256E+03
15006, 1.276E+03
15013, 1.248E+03
15022, 1.288E+03
15028, 1.245E+03
15039, 1.301E+03
15044, 1.250E+03
15059, 1.323E+03
15064, 1.263E+03
15032, 1.220E+03
15051, 1.212E+03
15053, 1.199E+03
15068, 1.212E+03
15070, 1.184E+03
15073, 1.186E+03
15088, 1.221E+03
15089, 1.230E+03
15090, 1.178E+03
15092, 1.163E+03
15095, 1.178E+03
15108, 1.240E+03
15111, 1.149E+03
15112, 1.181E+03
15113, 1.150E+03
15116, 1.184E+03
15129, 1.127E+03
15132, 1.147E+03
15134, 1.198E+03
15144, 1.150E+03
15150, 1.120E+03
15155, 1.120E+03
